,BATTING,Unnamed: 1,R,B,M,4s,6s,SR,Unnamed: 8,Unnamed: 9
11,"Fall of wickets: 1-42 (Quinton de Kock, 4.2 ov), 2-137 (Deepak Hooda, 14.3 ov), 3-176 (KL Rahul, 18.4 ov)","Fall of wickets: 1-42 (Quinton de Kock, 4.2 ov), 2-137 (Deepak Hooda, 14.3 ov), 3-176 (KL Rahul, 18.4 ov)","Fall of wickets: 1-42 (Quinton de Kock, 4.2 ov), 2-137 (Deepak Hooda, 14.3 ov), 3-176 (KL Rahul, 18.4 ov)","Fall of wickets: 1-42 (Quinton de Kock, 4.2 ov), 2-137 (Deepak Hooda, 14.3 ov), 3-176 (KL Rahul, 18.4 ov)","Fall of wickets: 1-42 (Quinton de Kock, 4.2 ov), 2-137 (Deepak Hooda, 14.3 ov), 3-176 (KL Rahul, 18.4 ov)","Fall of wickets: 1-42 (Quinton de Kock, 4.2 ov), 2-137 (Deepak Hooda, 14.3 ov), 3-176 (KL Rahul, 18.4 ov)","Fall of wickets: 1-42 (Quinton de Kock, 4.2 ov), 2-137 (Deepak Hooda, 14.3 ov), 3-176 (KL Rahul, 18.4 ov)","Fall of wickets: 1-42 (Quinton de Kock, 4.2 ov), 2-137 (Deepak Hooda, 14.3 ov), 3-176 (KL Rahul, 18.4 ov)","Fall of wickets: 1-42 (Quinton de Kock, 4.2 ov), 2-137 (Deepak Hooda, 14.3 ov), 3-176 (KL Rahul, 18.4 ov)",
0,Prithvi Shaw,c Gowtham b Chameera,5,7,7,1,0,71.42,,
1,,,,,,,,,,
2,David Warner,c Badoni b Mohsin Khan,3,4,19,0,0,75.00,,
3,,,,,,,,,,
4,Mitchell Marsh,c †de Kock b Gowtham,37,20,35,3,3,185.00,,
5,,,,,,,,,,
6,Rishabh Pant (c)†,b Mohsin Khan,44,30,54,7,1,146.66,,
7,,,,,,,,,,
8,Lalit Yadav,b Ravi Bishnoi,3,4,9,0,0,75.00,,
9,,,,,,,,,,
10,Rovman Powell,c Pandya b Mohsin Khan,35,21,40,3,2,166.66,,
11,,,,,,,,,,
12,Axar Patel,not out,42,24,45,1,3,175.00,,
13,Shardul Thakur,c Pandya b Mohsin Khan,1,2,5,0,0,50.00,,
14,,,,,,,,,,
15,Kuldeep Yadav,not out,16,8,23,1,1,200.00,,
16,Extras,(w 3),3,,,,,,,
17,TOTAL,20 Ov (RR: 9.45),189/7,,,,,,,
18,"Did not bat: Mustafizur Rahman, Chetan Sakariya","Did not bat: Mustafizur Rahman, Chetan Sakariya","Did not bat: Mustafizur Rahman, Chetan Sakariya","Did not bat: Mustafizur Rahman, Chetan Sakariya","Did not bat: Mustafizur Rahman, Chetan Sakariya","Did not bat: Mustafizur Rahman, Chetan Sakariya","Did not bat: Mustafizur Rahman, Chetan Sakariya","Did not bat: Mustafizur Rahman, Chetan Sakariya","Did not bat: Mustafizur Rahman, Chetan Sakariya",
19,"Fall of wickets: 1-5 (Prithvi Shaw, 1.2 ov), 2-13 (David Warner, 2.6 ov), 3-73 (Mitchell Marsh, 7.1 ov), 4-86 (Lalit Yadav, 8.5 ov), 5-120 (Rishabh Pant, 12.6 ov), 6-146 (Rovman Powell, 16.1 ov), 7-148 (Shardul Thakur, 16.4 ov)","Fall of wickets: 1-5 (Prithvi Shaw, 1.2 ov), 2-13 (David Warner, 2.6 ov), 3-73 (Mitchell Marsh, 7.1 ov), 4-86 (Lalit Yadav, 8.5 ov), 5-120 (Rishabh Pant, 12.6 ov), 6-146 (Rovman Powell, 16.1 ov), 7-148 (Shardul Thakur, 16.4 ov)","Fall of wickets: 1-5 (Prithvi Shaw, 1.2 ov), 2-13 (David Warner, 2.6 ov), 3-73 (Mitchell Marsh, 7.1 ov), 4-86 (Lalit Yadav, 8.5 ov), 5-120 (Rishabh Pant, 12.6 ov), 6-146 (Rovman Powell, 16.1 ov), 7-148 (Shardul Thakur, 16.4 ov)","Fall of wickets: 1-5 (Prithvi Shaw, 1.2 ov), 2-13 (David Warner, 2.6 ov), 3-73 (Mitchell Marsh, 7.1 ov), 4-86 (Lalit Yadav, 8.5 ov), 5-120 (Rishabh Pant, 12.6 ov), 6-146 (Rovman Powell, 16.1 ov), 7-148 (Shardul Thakur, 16.4 ov)","Fall of wickets: 1-5 (Prithvi Shaw, 1.2 ov), 2-13 (David Warner, 2.6 ov), 3-73 (Mitchell Marsh, 7.1 ov), 4-86 (Lalit Yadav, 8.5 ov), 5-120 (Rishabh Pant, 12.6 ov), 6-146 (Rovman Powell, 16.1 ov), 7-148 (Shardul Thakur, 16.4 ov)","Fall of wickets: 1-5 (Prithvi Shaw, 1.2 ov), 2-13 (David Warner, 2.6 ov), 3-73 (Mitchell Marsh, 7.1 ov), 4-86 (Lalit Yadav, 8.5 ov), 5-120 (Rishabh Pant, 12.6 ov), 6-146 (Rovman Powell, 16.1 ov), 7-148 (Shardul Thakur, 16.4 ov)","Fall of wickets: 1-5 (Prithvi Shaw, 1.2 ov), 2-13 (David Warner, 2.6 ov), 3-73 (Mitchell Marsh, 7.1 ov), 4-86 (Lalit Yadav, 8.5 ov), 5-120 (Rishabh Pant, 12.6 ov), 6-146 (Rovman Powell, 16.1 ov), 7-148 (Shardul Thakur, 16.4 ov)","Fall of wickets: 1-5 (Prithvi Shaw, 1.2 ov), 2-13 (David Warner, 2.6 ov), 3-73 (Mitchell Marsh, 7.1 ov), 4-86 (Lalit Yadav, 8.5 ov), 5-120 (Rishabh Pant, 12.6 ov), 6-146 (Rovman Powell, 16.1 ov), 7-148 (Shardul Thakur, 16.4 ov)","Fall of wickets: 1-5 (Prithvi Shaw, 1.2 ov), 2-13 (David Warner, 2.6 ov), 3-73 (Mitchell Marsh, 7.1 ov), 4-86 (Lalit Yadav, 8.5 ov), 5-120 (Rishabh Pant, 12.6 ov), 6-146 (Rovman Powell, 16.1 ov), 7-148 (Shardul Thakur, 16.4 ov)",
0,Ruturaj Gaikwad,c Kumar b Natarajan,99,57,88,6,6,173.68,,
1,,,,,,,,,,
2,Devon Conway,not out,85,55,97,8,4,154.54,,
3,MS Dhoni (c)†,c Umran Malik b Natarajan,8,7,9,1,0,114.28,,
4,,,,,,,,,,
5,Ravindra Jadeja,not out,1,1,3,0,0,100.00,,
6,Extras,"(lb 6, w 3)",9,,,,,,,
7,TOTAL,20 Ov (RR: 10.10),202/2,,,,,,,
8,"Did not bat: Robin Uthappa, Ambati Rayudu, Simarjeet Singh, Mitchell Santner, Dwaine Pretorius, Mukesh Choudhary, Maheesh Theekshana","Did not bat: Robin Uthappa, Ambati Rayudu, Simarjeet Singh, Mitchell Santner, Dwaine Pretorius, Mukesh Choudhary, Maheesh Theekshana","Did not bat: Robin Uthappa, Ambati Rayudu, Simarjeet Singh, Mitchell Santner, Dwaine Pretorius, Mukesh Choudhary, Maheesh Theekshana","Did not bat: Robin Uthappa, Ambati Rayudu, Simarjeet Singh, Mitchell Santner, Dwaine Pretorius, Mukesh Choudhary, Maheesh Theekshana","Did not bat: Robin Uthappa, Ambati Rayudu, Simarjeet Singh, Mitchell Santner, Dwaine Pretorius, Mukesh Choudhary, Maheesh Theekshana","Did not bat: Robin Uthappa, Ambati Rayudu, Simarjeet Singh, Mitchell Santner, Dwaine Pretorius, Mukesh Choudhary, Maheesh Theekshana","Did not bat: Robin Uthappa, Ambati Rayudu, Simarjeet Singh, Mitchell Santner, Dwaine Pretorius, Mukesh Choudhary, Maheesh Theekshana","Did not bat: Robin Uthappa, Ambati Rayudu, Simarjeet Singh, Mitchell Santner, Dwaine Pretorius, Mukesh Choudhary, Maheesh Theekshana","Did not bat: Robin Uthappa, Ambati Rayudu, Simarjeet Singh, Mitchell Santner, Dwaine Pretorius, Mukesh Choudhary, Maheesh Theekshana",
9,"Fall of wickets: 1-182 (Ruturaj Gaikwad, 17.5 ov), 2-192 (MS Dhoni, 19.2 ov)","Fall of wickets: 1-182 (Ruturaj Gaikwad, 17.5 ov), 2-192 (MS Dhoni, 19.2 ov)","Fall of wickets: 1-182 (Ruturaj Gaikwad, 17.5 ov), 2-192 (MS Dhoni, 19.2 ov)","Fall of wickets: 1-182 (Ruturaj Gaikwad, 17.5 ov), 2-192 (MS Dhoni, 19.2 ov)","Fall of wickets: 1-182 (Ruturaj Gaikwad, 17.5 ov), 2-192 (MS Dhoni, 19.2 ov)","Fall of wickets: 1-182 (Ruturaj Gaikwad, 17.5 ov), 2-192 (MS Dhoni, 19.2 ov)","Fall of wickets: 1-182 (Ruturaj Gaikwad, 17.5 ov), 2-192 (MS Dhoni, 19.2 ov)","Fall of wickets: 1-182 (Ruturaj Gaikwad, 17.5 ov), 2-192 (MS Dhoni, 19.2 ov)","Fall of wickets: 1-182 (Ruturaj Gaikwad, 17.5 ov), 2-192 (MS Dhoni, 19.2 ov)",
0,Abhishek Sharma,c Pretorius b Mukesh Choudhary,39,24,29,5,1,162.50,,
1,,,,,,,,,,
2,Kane Williamson (c),lbw b Pretorius,47,37,67,2,2,127.02,,
3,,,,,,,,,,
4,Rahul Tripathi,c Simarjeet Singh b Mukesh Choudhary,0,1,3,0,0,0.00,,
5,,,,,,,,,,
6,Aiden Markram,c Jadeja b Santner,17,10,14,0,2,170.00,,
7,,,,,,,,,,
8,Nicholas Pooran †,not out,64,33,53,3,6,193.93,,
9,Shashank Singh,c †Dhoni b Mukesh Choudhary,15,14,17,1,0,107.14,,
10,,,,,,,,,,
11,Washington Sundar,b Mukesh Choudhary,2,2,13,0,0,100.00,,
12,,,,,,,,,,
13,Marco Jansen,not out,0,0,-,0,0,-,,
14,Extras,"(lb 2, nb 1, w 2)",5,,,,,,,
15,TOTAL,20 Ov (RR: 9.45),189/6,,,,,,,
16,"Did not bat: Bhuvneshwar Kumar, T Natarajan, Umran Malik","Did not bat: Bhuvneshwar Kumar, T Natarajan, Umran Malik","Did not bat: Bhuvneshwar Kumar, T Natarajan, Umran Malik","Did not bat: Bhuvneshwar Kumar, T Natarajan, Umran Malik","Did not bat: Bhuvneshwar Kumar, T Natarajan, Umran Malik","Did not bat: Bhuvneshwar Kumar, T Natarajan, Umran Malik","Did not bat: Bhuvneshwar Kumar, T Natarajan, Umran Malik","Did not bat: Bhuvneshwar Kumar, T Natarajan, Umran Malik","Did not bat: Bhuvneshwar Kumar, T Natarajan, Umran Malik",
17,"Fall of wickets: 1-58 (Abhishek Sharma, 5.5 ov), 2-58 (Rahul Tripathi, 5.6 ov), 3-88 (Aiden Markram, 9.5 ov), 4-126 (Kane Williamson, 14.2 ov), 5-151 (Shashank Singh, 17.4 ov), 6-153 (Washington Sundar, 17.6 ov)","Fall of wickets: 1-58 (Abhishek Sharma, 5.5 ov), 2-58 (Rahul Tripathi, 5.6 ov), 3-88 (Aiden Markram, 9.5 ov), 4-126 (Kane Williamson, 14.2 ov), 5-151 (Shashank Singh, 17.4 ov), 6-153 (Washington Sundar, 17.6 ov)","Fall of wickets: 1-58 (Abhishek Sharma, 5.5 ov), 2-58 (Rahul Tripathi, 5.6 ov), 3-88 (Aiden Markram, 9.5 ov), 4-126 (Kane Williamson, 14.2 ov), 5-151 (Shashank Singh, 17.4 ov), 6-153 (Washington Sundar, 17.6 ov)","Fall of wickets: 1-58 (Abhishek Sharma, 5.5 ov), 2-58 (Rahul Tripathi, 5.6 ov), 3-88 (Aiden Markram, 9.5 ov), 4-126 (Kane Williamson, 14.2 ov), 5-151 (Shashank Singh, 17.4 ov), 6-153 (Washington Sundar, 17.6 ov)","Fall of wickets: 1-58 (Abhishek Sharma, 5.5 ov), 2-58 (Rahul Tripathi, 5.6 ov), 3-88 (Aiden Markram, 9.5 ov), 4-126 (Kane Williamson, 14.2 ov), 5-151 (Shashank Singh, 17.4 ov), 6-153 (Washington Sundar, 17.6 ov)","Fall of wickets: 1-58 (Abhishek Sharma, 5.5 ov), 2-58 (Rahul Tripathi, 5.6 ov), 3-88 (Aiden Markram, 9.5 ov), 4-126 (Kane Williamson, 14.2 ov), 5-151 (Shashank Singh, 17.4 ov), 6-153 (Washington Sundar, 17.6 ov)","Fall of wickets: 1-58 (Abhishek Sharma, 5.5 ov), 2-58 (Rahul Tripathi, 5.6 ov), 3-88 (Aiden Markram, 9.5 ov), 4-126 (Kane Williamson, 14.2 ov), 5-151 (Shashank Singh, 17.4 ov), 6-153 (Washington Sundar, 17.6 ov)","Fall of wickets: 1-58 (Abhishek Sharma, 5.5 ov), 2-58 (Rahul Tripathi, 5.6 ov), 3-88 (Aiden Markram, 9.5 ov), 4-126 (Kane Williamson, 14.2 ov), 5-151 (Shashank Singh, 17.4 ov), 6-153 (Washington Sundar, 17.6 ov)","Fall of wickets: 1-58 (Abhishek Sharma, 5.5 ov), 2-58 (Rahul Tripathi, 5.6 ov), 3-88 (Aiden Markram, 9.5 ov), 4-126 (Kane Williamson, 14.2 ov), 5-151 (Shashank Singh, 17.4 ov), 6-153 (Washington Sundar, 17.6 ov)",
0,Jos Buttler,c Shivam Mavi b Southee,22,25,44,3,0,88.00,,
1,,,,,,,,,,
2,Devdutt Padikkal,c & b Yadav,2,5,10,0,0,40.00,,
3,,,,,,,,,,
4,Sanju Samson (c)†,c Singh b Shivam Mavi,54,49,75,7,1,110.20,,
5,,,,,,,,,,
6,Karun Nair,c Singh b Roy,13,13,22,1,0,100.00,,
7,,,,,,,,,,
8,Riyan Parag,c Roy b Southee,19,12,20,1,2,158.33,,
9,,,,,,,,,,
10,Shimron Hetmyer,not out,27,13,23,1,2,207.69,,
11,Ravichandran Ashwin,not out,6,5,21,0,0,120.00,,
12,Extras,"(lb 2, nb 2, w 5)",9,,,,,,,
13,TOTAL,20 Ov (RR: 7.60),152/5,,,,,,,
14,"Did not bat: Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen","Did not bat: Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen","Did not bat: Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen","Did not bat: Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen","Did not bat: Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen","Did not bat: Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen","Did not bat: Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen","Did not bat: Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen","Did not bat: Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen",
15,"Fall of wickets: 1-7 (Devdutt Padikkal, 2.1 ov), 2-55 (Jos Buttler, 8.3 ov), 3-90 (Karun Nair, 13.1 ov), 4-115 (Riyan Parag, 16.6 ov), 5-115 (Sanju Samson, 17.1 ov)","Fall of wickets: 1-7 (Devdutt Padikkal, 2.1 ov), 2-55 (Jos Buttler, 8.3 ov), 3-90 (Karun Nair, 13.1 ov), 4-115 (Riyan Parag, 16.6 ov), 5-115 (Sanju Samson, 17.1 ov)","Fall of wickets: 1-7 (Devdutt Padikkal, 2.1 ov), 2-55 (Jos Buttler, 8.3 ov), 3-90 (Karun Nair, 13.1 ov), 4-115 (Riyan Parag, 16.6 ov), 5-115 (Sanju Samson, 17.1 ov)","Fall of wickets: 1-7 (Devdutt Padikkal, 2.1 ov), 2-55 (Jos Buttler, 8.3 ov), 3-90 (Karun Nair, 13.1 ov), 4-115 (Riyan Parag, 16.6 ov), 5-115 (Sanju Samson, 17.1 ov)","Fall of wickets: 1-7 (Devdutt Padikkal, 2.1 ov), 2-55 (Jos Buttler, 8.3 ov), 3-90 (Karun Nair, 13.1 ov), 4-115 (Riyan Parag, 16.6 ov), 5-115 (Sanju Samson, 17.1 ov)","Fall of wickets: 1-7 (Devdutt Padikkal, 2.1 ov), 2-55 (Jos Buttler, 8.3 ov), 3-90 (Karun Nair, 13.1 ov), 4-115 (Riyan Parag, 16.6 ov), 5-115 (Sanju Samson, 17.1 ov)","Fall of wickets: 1-7 (Devdutt Padikkal, 2.1 ov), 2-55 (Jos Buttler, 8.3 ov), 3-90 (Karun Nair, 13.1 ov), 4-115 (Riyan Parag, 16.6 ov), 5-115 (Sanju Samson, 17.1 ov)","Fall of wickets: 1-7 (Devdutt Padikkal, 2.1 ov), 2-55 (Jos Buttler, 8.3 ov), 3-90 (Karun Nair, 13.1 ov), 4-115 (Riyan Parag, 16.6 ov), 5-115 (Sanju Samson, 17.1 ov)","Fall of wickets: 1-7 (Devdutt Padikkal, 2.1 ov), 2-55 (Jos Buttler, 8.3 ov), 3-90 (Karun Nair, 13.1 ov), 4-115 (Riyan Parag, 16.6 ov), 5-115 (Sanju Samson, 17.1 ov)",
0,Baba Indrajith †,c Ashwin b Prasidh Krishna,15,16,30,2,0,93.75,,
1,,,,,,,,,,
2,Aaron Finch,b Sen,4,7,16,0,0,57.14,,
3,,,,,,,,,,
4,Shreyas Iyer (c),c †Samson b Boult,34,32,48,3,1,106.25,,
5,,,,,,,,,,
6,Nitish Rana,not out,48,37,73,3,2,129.72,,
7,Rinku Singh,not out,42,23,38,6,1,182.60,,
8,Extras,"(lb 4, w 11)",15,,,,,,,
9,TOTAL,19.1 Ov (RR: 8.24),158/3,,,,,,,
10,"Did not bat: Anukul Roy, Andre Russell, Sunil Narine, Umesh Yadav, Tim Southee, Shivam Mavi","Did not bat: Anukul Roy, Andre Russell, Sunil Narine, Umesh Yadav, Tim Southee, Shivam Mavi","Did not bat: Anukul Roy, Andre Russell, Sunil Narine, Umesh Yadav, Tim Southee, Shivam Mavi","Did not bat: Anukul Roy, Andre Russell, Sunil Narine, Umesh Yadav, Tim Southee, Shivam Mavi","Did not bat: Anukul Roy, Andre Russell, Sunil Narine, Umesh Yadav, Tim Southee, Shivam Mavi","Did not bat: Anukul Roy, Andre Russell, Sunil Narine, Umesh Yadav, Tim Southee, Shivam Mavi","Did not bat: Anukul Roy, Andre Russell, Sunil Narine, Umesh Yadav, Tim Southee, Shivam Mavi","Did not bat: Anukul Roy, Andre Russell, Sunil Narine, Umesh Yadav, Tim Southee, Shivam Mavi","Did not bat: Anukul Roy, Andre Russell, Sunil Narine, Umesh Yadav, Tim Southee, Shivam Mavi",
11,"Fall of wickets: 1-16 (Aaron Finch, 3.1 ov), 2-32 (Baba Indrajith, 5.4 ov), 3-92 (Shreyas Iyer, 12.5 ov)","Fall of wickets: 1-16 (Aaron Finch, 3.1 ov), 2-32 (Baba Indrajith, 5.4 ov), 3-92 (Shreyas Iyer, 12.5 ov)","Fall of wickets: 1-16 (Aaron Finch, 3.1 ov), 2-32 (Baba Indrajith, 5.4 ov), 3-92 (Shreyas Iyer, 12.5 ov)","Fall of wickets: 1-16 (Aaron Finch, 3.1 ov), 2-32 (Baba Indrajith, 5.4 ov), 3-92 (Shreyas Iyer, 12.5 ov)","Fall of wickets: 1-16 (Aaron Finch, 3.1 ov), 2-32 (Baba Indrajith, 5.4 ov), 3-92 (Shreyas Iyer, 12.5 ov)","Fall of wickets: 1-16 (Aaron Finch, 3.1 ov), 2-32 (Baba Indrajith, 5.4 ov), 3-92 (Shreyas Iyer, 12.5 ov)","Fall of wickets: 1-16 (Aaron Finch, 3.1 ov), 2-32 (Baba Indrajith, 5.4 ov), 3-92 (Shreyas Iyer, 12.5 ov)","Fall of wickets: 1-16 (Aaron Finch, 3.1 ov), 2-32 (Baba Indrajith, 5.4 ov), 3-92 (Shreyas Iyer, 12.5 ov)","Fall of wickets: 1-16 (Aaron Finch, 3.1 ov), 2-32 (Baba Indrajith, 5.4 ov), 3-92 (Shreyas Iyer, 12.5 ov)",
0,Wriddhiman Saha †,c Agarwal b Rabada,21,17,18,3,1,123.52,,
1,,,,,,,,,,
2,Shubman Gill,run out (R Dhawan),9,6,11,2,0,150.00,,
3,,,,,,,,,,
4,Sai Sudharsan,not out,65,50,94,5,1,130.00,,
5,Hardik Pandya (c),c †Sharma b R Dhawan,1,7,18,0,0,14.28,,
6,,,,,,,,,,
7,David Miller,c Rabada b Livingstone,11,14,26,0,0,78.57,,
8,,,,,,,,,,
9,Rahul Tewatia,c Sandeep Sharma b Rabada,11,13,28,0,0,84.61,,
10,,,,,,,,,,
11,Rashid Khan,c †Sharma b Rabada,0,1,2,0,0,0.00,,
12,,,,,,,,,,
13,Pradeep Sangwan,b Arshdeep Singh,2,5,7,0,0,40.00,,
14,,,,,,,,,,
15,Lockie Ferguson,c Livingstone b Rabada,5,3,4,1,0,166.66,,
16,,,,,,,,,,
17,Alzarri Joseph,not out,4,5,9,0,0,80.00,,
18,Extras,"(b 1, lb 4, nb 1, w 8)",14,,,,,,,
19,TOTAL,20 Ov (RR: 7.15),143/8,,,,,,,
20,Did not bat: Mohammed Shami,Did not bat: Mohammed Shami,Did not bat: Mohammed Shami,Did not bat: Mohammed Shami,Did not bat: Mohammed Shami,Did not bat: Mohammed Shami,Did not bat: Mohammed Shami,Did not bat: Mohammed Shami,Did not bat: Mohammed Shami,
21,"Fall of wickets: 1-17 (Shubman Gill, 2.1 ov), 2-34 (Wriddhiman Saha, 3.5 ov), 3-44 (Hardik Pandya, 6.2 ov), 4-67 (David Miller, 11.2 ov), 5-112 (Rahul Tewatia, 16.2 ov), 6-112 (Rashid Khan, 16.3 ov), 7-122 (Pradeep Sangwan, 17.4 ov), 8-129 (Lockie Ferguson, 18.2 ov)","Fall of wickets: 1-17 (Shubman Gill, 2.1 ov), 2-34 (Wriddhiman Saha, 3.5 ov), 3-44 (Hardik Pandya, 6.2 ov), 4-67 (David Miller, 11.2 ov), 5-112 (Rahul Tewatia, 16.2 ov), 6-112 (Rashid Khan, 16.3 ov), 7-122 (Pradeep Sangwan, 17.4 ov), 8-129 (Lockie Ferguson, 18.2 ov)","Fall of wickets: 1-17 (Shubman Gill, 2.1 ov), 2-34 (Wriddhiman Saha, 3.5 ov), 3-44 (Hardik Pandya, 6.2 ov), 4-67 (David Miller, 11.2 ov), 5-112 (Rahul Tewatia, 16.2 ov), 6-112 (Rashid Khan, 16.3 ov), 7-122 (Pradeep Sangwan, 17.4 ov), 8-129 (Lockie Ferguson, 18.2 ov)","Fall of wickets: 1-17 (Shubman Gill, 2.1 ov), 2-34 (Wriddhiman Saha, 3.5 ov), 3-44 (Hardik Pandya, 6.2 ov), 4-67 (David Miller, 11.2 ov), 5-112 (Rahul Tewatia, 16.2 ov), 6-112 (Rashid Khan, 16.3 ov), 7-122 (Pradeep Sangwan, 17.4 ov), 8-129 (Lockie Ferguson, 18.2 ov)","Fall of wickets: 1-17 (Shubman Gill, 2.1 ov), 2-34 (Wriddhiman Saha, 3.5 ov), 3-44 (Hardik Pandya, 6.2 ov), 4-67 (David Miller, 11.2 ov), 5-112 (Rahul Tewatia, 16.2 ov), 6-112 (Rashid Khan, 16.3 ov), 7-122 (Pradeep Sangwan, 17.4 ov), 8-129 (Lockie Ferguson, 18.2 ov)","Fall of wickets: 1-17 (Shubman Gill, 2.1 ov), 2-34 (Wriddhiman Saha, 3.5 ov), 3-44 (Hardik Pandya, 6.2 ov), 4-67 (David Miller, 11.2 ov), 5-112 (Rahul Tewatia, 16.2 ov), 6-112 (Rashid Khan, 16.3 ov), 7-122 (Pradeep Sangwan, 17.4 ov), 8-129 (Lockie Ferguson, 18.2 ov)","Fall of wickets: 1-17 (Shubman Gill, 2.1 ov), 2-34 (Wriddhiman Saha, 3.5 ov), 3-44 (Hardik Pandya, 6.2 ov), 4-67 (David Miller, 11.2 ov), 5-112 (Rahul Tewatia, 16.2 ov), 6-112 (Rashid Khan, 16.3 ov), 7-122 (Pradeep Sangwan, 17.4 ov), 8-129 (Lockie Ferguson, 18.2 ov)","Fall of wickets: 1-17 (Shubman Gill, 2.1 ov), 2-34 (Wriddhiman Saha, 3.5 ov), 3-44 (Hardik Pandya, 6.2 ov), 4-67 (David Miller, 11.2 ov), 5-112 (Rahul Tewatia, 16.2 ov), 6-112 (Rashid Khan, 16.3 ov), 7-122 (Pradeep Sangwan, 17.4 ov), 8-129 (Lockie Ferguson, 18.2 ov)","Fall of wickets: 1-17 (Shubman Gill, 2.1 ov), 2-34 (Wriddhiman Saha, 3.5 ov), 3-44 (Hardik Pandya, 6.2 ov), 4-67 (David Miller, 11.2 ov), 5-112 (Rahul Tewatia, 16.2 ov), 6-112 (Rashid Khan, 16.3 ov), 7-122 (Pradeep Sangwan, 17.4 ov), 8-129 (Lockie Ferguson, 18.2 ov)",
0,Jonny Bairstow,c Sangwan b Mohammed Shami,1,6,12,0,0,16.66,,
1,,,,,,,,,,
2,Shikhar Dhawan,not out,62,53,88,8,1,116.98,,
3,Bhanuka Rajapaksa,lbw b Ferguson,40,28,52,5,1,142.85,,
4,,,,,,,,,,
5,Liam Livingstone,not out,30,10,25,2,3,300.00,,
6,Extras,"(b 1, lb 3, nb 1, w 7)",12,,,,,,,
7,TOTAL,16 Ov (RR: 9.06),145/2,,,,,,,
8,"Did not bat: Mayank Agarwal (c), Jitesh Sharma †, Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Arshdeep Singh, Sandeep Sharma","Did not bat: Mayank Agarwal (c), Jitesh Sharma †, Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Arshdeep Singh, Sandeep Sharma","Did not bat: Mayank Agarwal (c), Jitesh Sharma †, Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Arshdeep Singh, Sandeep Sharma","Did not bat: Mayank Agarwal (c), Jitesh Sharma †, Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Arshdeep Singh, Sandeep Sharma","Did not bat: Mayank Agarwal (c), Jitesh Sharma †, Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Arshdeep Singh, Sandeep Sharma","Did not bat: Mayank Agarwal (c), Jitesh Sharma †, Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Arshdeep Singh, Sandeep Sharma","Did not bat: Mayank Agarwal (c), Jitesh Sharma †, Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Arshdeep Singh, Sandeep Sharma","Did not bat: Mayank Agarwal (c), Jitesh Sharma †, Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Arshdeep Singh, Sandeep Sharma","Did not bat: Mayank Agarwal (c), Jitesh Sharma †, Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Arshdeep Singh, Sandeep Sharma",
9,"Fall of wickets: 1-10 (Jonny Bairstow, 2.2 ov), 2-97 (Bhanuka Rajapaksa, 11.6 ov)","Fall of wickets: 1-10 (Jonny Bairstow, 2.2 ov), 2-97 (Bhanuka Rajapaksa, 11.6 ov)","Fall of wickets: 1-10 (Jonny Bairstow, 2.2 ov), 2-97 (Bhanuka Rajapaksa, 11.6 ov)","Fall of wickets: 1-10 (Jonny Bairstow, 2.2 ov), 2-97 (Bhanuka Rajapaksa, 11.6 ov)","Fall of wickets: 1-10 (Jonny Bairstow, 2.2 ov), 2-97 (Bhanuka Rajapaksa, 11.6 ov)","Fall of wickets: 1-10 (Jonny Bairstow, 2.2 ov), 2-97 (Bhanuka Rajapaksa, 11.6 ov)","Fall of wickets: 1-10 (Jonny Bairstow, 2.2 ov), 2-97 (Bhanuka Rajapaksa, 11.6 ov)","Fall of wickets: 1-10 (Jonny Bairstow, 2.2 ov), 2-97 (Bhanuka Rajapaksa, 11.6 ov)","Fall of wickets: 1-10 (Jonny Bairstow, 2.2 ov), 2-97 (Bhanuka Rajapaksa, 11.6 ov)",
0,Virat Kohli,b Ali,30,33,43,3,1,90.90,,
1,,,,,,,,,,
2,Faf du Plessis (c),c Jadeja b Ali,38,22,32,4,1,172.72,,
3,,,,,,,,,,
4,Glenn Maxwell,run out (Uthappa/†Dhoni),3,3,7,0,0,100.00,,
5,,,,,,,,,,
6,Mahipal Lomror,c Gaikwad b Theekshana,42,27,38,3,2,155.55,,
7,,,,,,,,,,
